Shortname,Method,Config,SeriesType,Transform,PrimaryStatus,PrimaryPhenotype,RP_Month,BP_Month,Pr_RP,Pr_BP,PrimaryStatusProb,RP_Q025,RP_Q975,BP_Q025,BP_Q975,MethodUsed,FitFailed,SimulationIncluded,BaselineStatus,BaselinePhenotype,Baseline_RP_Month,Baseline_BP_Month,Baseline_Pr_RP,Baseline_Pr_BP,BaselineStatusProb,PhenotypeChanged,StatusChanged,RP_Month_Delta,BP_Month_Delta,Abs_RP_Month_Delta,Abs_BP_Month_Delta,Delta_Pr_RP,Delta_Pr_BP,Delta_StatusProb,MaterialTimingShift
Amebiasis,TBATS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,35,NA,0.705,0.29,0.415,4,56,28.7,69.14999999999999,TBATS,FALSE,TRUE,Debt Repaid,Balanced,29,35,0.7068,0.6284,0.6284,TRUE,TRUE,6,NA,6,NA,-0.0018000000000000238,-0.3384,-0.21339999999999998,TRUE
Chancroid,ARIMA + Fourier,Count log,count,log,Suppressed,Suppressed,NA,NA,0.7,0.015,0.3,8,67.525,61.25,69.8,ARIMA + Fourier,FALSE,TRUE,Recovered,Recovered but not balanced,48,NA,0.9962,0.2244,0.7718,TRUE,TRUE,NA,NA,NA,NA,-0.2962,-0.20939999999999998,-0.47180000000000005,FALSE
Syphilis,Bayesian structural,Count log,count,log,Suppressed,Suppressed,NA,NA,0.29,0.165,0.495,0,57,1.8,67,Bayesian structural,FALSE,TRUE,Debt Repaid,Balanced,34,40,0.4288,0.2996,0.2996,TRUE,TRUE,NA,NA,NA,NA,-0.13880000000000003,-0.13459999999999997,0.19540000000000002,FALSE
Influenza,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,43,71,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Recovered,Recovered but not balanced,44,NA,1,0,1,TRUE,TRUE,-1,NA,1,NA,NA,NA,NA,FALSE
Shigellosis,Bayesian structural,Rate sqrt,rate,sqrt,Suppressed,Suppressed,NA,NA,0.45,0.195,0.55,5.225,66,7.95,67,Bayesian structural,FALSE,TRUE,Recovered,Recovered but not balanced,31,NA,0.7154,0.3514,0.364,TRUE,TRUE,NA,NA,NA,NA,-0.2654,-0.15639999999999998,0.18600000000000005,FALSE
Leptospirosis,ARIMA + Fourier,Count log,count,log,Debt Repaid,Balanced,27,32,0.9,0.845,0.845,3,35,6.000000000000001,58.599999999999966,ARIMA + Fourier,FALSE,TRUE,Debt Repaid,Balanced,11,32,0.8576,0.7734,0.7734,FALSE,FALSE,16,0,16,0,0.04239999999999999,0.0716,0.0716,TRUE
Mumps,ETS,Count log,count,log,Recovered,Recovered but not balanced,58,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Recovered,Recovered but not balanced,68,NA,1,0,1,FALSE,FALSE,-10,NA,10,NA,NA,NA,NA,TRUE
Chickenpox,SARIMA,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,54,NA,NA,NA,NA,NA,NA,NA,NA,SARIMA,FALSE,FALSE,Recovered,Recovered but not balanced,66,NA,0.8888,0,0.8888,FALSE,FALSE,-12,NA,12,NA,NA,NA,NA,TRUE
HCV,ARIMA + Fourier,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,31,41,NA,NA,NA,NA,NA,NA,NA,ARIMA + Fourier,FALSE,FALSE,Debt Repaid,Balanced,28,35,0.9546,0.9472,0.9472,FALSE,FALSE,3,6,3,6,NA,NA,NA,TRUE
HFMD,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,9,49,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,9,33,1,1,1,FALSE,FALSE,0,16,0,16,NA,NA,NA,TRUE
Melioidosis,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,28,44,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,28,36,1,1,1,FALSE,FALSE,0,8,0,8,NA,NA,NA,TRUE
S. suis,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,5,20,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Debt Repaid,Balanced,5,7,1,1,1,FALSE,FALSE,0,13,0,13,NA,NA,NA,TRUE
Scrub Typhus,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,29,61,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Debt Repaid,Balanced,28,50,1,1,1,FALSE,FALSE,1,11,1,11,NA,NA,NA,TRUE
Amebiasis,TBATS,Count log,count,log,Debt Repaid,Balanced,29,36,0.75,0.655,0.655,5,49.55000000000001,24,63.75,TBATS,FALSE,TRUE,Debt Repaid,Balanced,29,35,0.7068,0.6284,0.6284,FALSE,FALSE,0,1,0,1,0.043200000000000016,0.026600000000000068,0.026600000000000068,FALSE
CA (HPV),Bayesian structural,Count log,count,log,Debt Repaid,Balanced,43,58,0.75,0.52,0.52,0,56,1,66.425,Bayesian structural,FALSE,TRUE,Debt Repaid,Balanced,40,55,0.9556,0.773,0.773,FALSE,FALSE,3,3,3,3,-0.2056,-0.253,-0.253,FALSE
Chickenpox,SARIMA,Count log,count,log,Recovered,Recovered but not balanced,66,NA,NA,NA,NA,NA,NA,NA,NA,SARIMA,FALSE,FALSE,Recovered,Recovered but not balanced,66,NA,0.8888,0,0.8888,FALSE,FALSE,0,NA,0,NA,NA,NA,NA,FALSE
Dengue fever,TBATS,Count log,count,log,Recovered,Recovered but not balanced,35,NA,0.66,0.29,0.37,2,46,3.425,66.57499999999999,TBATS,FALSE,TRUE,Recovered,Recovered but not balanced,35,NA,0.7228,0.3394,0.3834,FALSE,FALSE,0,NA,0,NA,-0.06279999999999997,-0.0494,-0.013400000000000023,FALSE
Genital herpes,Hybrid,Count log,count,log,Debt Repaid,Balanced,36,51,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,36,52,1,1,1,FALSE,FALSE,0,-1,0,1,NA,NA,NA,FALSE
Gonorrhoea,TBATS,Count log,count,log,Debt Repaid,Balanced,36,61,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE,Debt Repaid,Balanced,36,58,0.999,0.822,0.822,FALSE,FALSE,0,3,0,3,NA,NA,NA,FALSE
HAV,Hybrid,Count log,count,log,Recovered,Recovered but not balanced,47,NA,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Recovered,Recovered but not balanced,47,NA,0.9226,0,0.9226,FALSE,FALSE,0,NA,0,NA,NA,NA,NA,FALSE
HBV,ETS,Count log,count,log,Debt Repaid,Balanced,38,52,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Debt Repaid,Balanced,38,52,1,1,1,FALSE,FALSE,0,0,0,0,NA,NA,NA,FALSE
HCV,ARIMA + Fourier,Count log,count,log,Debt Repaid,Balanced,28,34,NA,NA,NA,NA,NA,NA,NA,ARIMA + Fourier,FALSE,FALSE,Debt Repaid,Balanced,28,35,0.9546,0.9472,0.9472,FALSE,FALSE,0,-1,0,1,NA,NA,NA,FALSE
HFMD,Hybrid,Count log,count,log,Debt Repaid,Balanced,9,32,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,9,33,1,1,1,FALSE,FALSE,0,-1,0,1,NA,NA,NA,FALSE
Influenza,ETS,Count log,count,log,Recovered,Recovered but not balanced,44,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Recovered,Recovered but not balanced,44,NA,1,0,1,FALSE,FALSE,0,NA,0,NA,NA,NA,NA,FALSE
Malaria,Hybrid,Count log,count,log,No Deficit,No deficit,NA,NA,0.145,0.145,0.855,0,4,1,4,Hybrid,FALSE,TRUE,No Deficit,No deficit,NA,NA,0.4748,0.4748,0.5252,FALSE,FALSE,NA,NA,NA,NA,-0.3298,-0.3298,0.3298,FALSE
Melioidosis,Hybrid,Count log,count,log,Debt Repaid,Balanced,28,41,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,28,36,1,1,1,FALSE,FALSE,0,5,0,5,NA,NA,NA,FALSE
Pneumonia,TBATS,Count log,count,log,Debt Repaid,Balanced,34,61,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE,Debt Repaid,Balanced,34,60,1,0.8354,0.8354,FALSE,FALSE,0,1,0,1,NA,NA,NA,FALSE
