Country,CadenceLabel,BestModel,FollowUpEnd,ObservedAtEnd,ForecastMedianAtEnd,Lower95AtEnd,Upper95AtEnd,MedianForecastAcrossFollowUp,MedianLower95AcrossFollowUp,MedianUpper95AcrossFollowUp,NormalizationDate,BalanceDate,Status
Australia,Monthly surveillance,Neural Network,2025-12-01,919,981.661293847438,694.7917882056538,1858.8901194888037,978.853725919152,694.9153651513192,1831.5772645660722,2024-03-01,2024-12-01,Balanced
China,Monthly surveillance,ARIMA + Fourier,2025-12-01,1313,1346.3422112396797,0.010000000000000002,6502.608434027736,1916.3860131024744,191.1939207184547,5413.094114521931,2021-12-01,2024-01-01,Balanced
Japan,Weekly surveillance,ARIMA + Fourier,2025-12-22,352,165.37628813223256,0.010000000000000002,636.8024137937409,217.2073031519319,23.18626911655903,551.2760377596865,2025-01-20,2025-08-04,Balanced
New Zealand,Monthly surveillance,ARIMA + Fourier,2025-12-01,259,56.897422543236715,0.010000000000000002,1259.7193109038933,35.48935047396318,0.010000000000000002,700.2798540436418,2024-05-01,2024-12-01,Balanced
Sweden,Monthly surveillance,ARIMA + Fourier,2025-12-01,80,74.74597661798043,39.85543473566987,131.4506495119024,58.33461482927919,29.600988197396816,109.48243892402301,2024-03-01,NA,RP achieved without BP
United States,Weekly surveillance,SARIMA,2025-12-28,8,121.66188008616763,4.66096748761448,376.3062212516095,122.25088822004328,24.372080831272854,300.0488347380169,2024-04-28,NA,RP achieved without BP
