Shortname,Group,BestModel,split,split_label,start_date,end_date,PlaceboStatus,PlaceboStatusLabel,TemperedStatus,TemperedStatusLabel,FalseAlert,FalseAlertTempered,FalseSuppressed,Coverage80,Coverage95,MeanIntervalScore80,MeanIntervalScore95,MeanWIS,MeanPIT,PIT_KS_p,MeanWidth95,MonthsEvaluated
CA (HPV),Sexually IDs,Bayesian structural,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,1,1,187.7812060304563,312.09458436108537,60.91210546467142,0.548125,0.010850997014515196,312.09458436108537,24
CA (HPV),Sexually IDs,Bayesian structural,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.6111111111111112,0.9722222222222222,253.69616758567048,312.66366252582736,115.66039740632624,0.2451111111111111,2.0773666120632583e-9,285.19783877932724,36
HBV,Sexually IDs,ETS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0,0.16666666666666666,308.80859969090426,1176.122953924969,122.54447661315795,0.24716666666666667,1.233303874959013e-5,7.6409263357048145,12
HBV,Sexually IDs,ETS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,0.8333333333333334,0.875,163.71115574045731,245.47064161119943,64.14035084770362,0.5330416666666666,0.6834170265318028,160.5355896056635,24
HBV,Sexually IDs,ETS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.4444444444444444,0.7777777777777778,277.7945653396028,447.99498163565227,105.72069243121798,0.7909722222222222,2.4202596593525527e-7,150.38602498109015,36
Syphilis,Sexually IDs,Bayesian structural,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.9166666666666666,1,456.6449825341448,689.7906816394376,144.88824615475275,0.6221666666666666,0.013314187015788015,689.7906816394376,12
Syphilis,Sexually IDs,Bayesian structural,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.875,0.9583333333333334,809.40897781486035,1226.9336253002748,281.26204590160984,0.6915833333333333,7.584015673245403e-7,1192.497050993516,24
Syphilis,Sexually IDs,Bayesian structural,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.8611111111111112,0.9722222222222222,700.8854728357045,1001.2930238148355,361.9994371111128,0.8256388888888889,3.1086244689504383e-15,977.6984243588759,36
Gonorrhoea,Sexually IDs,TBATS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.75,0.8333333333333334,303.5216126028719,514.7562749854185,120.89430119193683,0.27416666666666667,0.013213136241106427,292.22976933880034,12
Gonorrhoea,Sexually IDs,TBATS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0.8333333333333334,0.9583333333333334,266.253752438934,350.5331940636337,98.40638350238684,0.373625,0.03379372933834068,349.19045114342464,24
