HorizonBin,MeanCoverage80,MeanCoverage95,MeanIntervalScore95,MeanWIS
1-12,0.591,0.747,15719.25,1932.032
13-24,0.634,0.78,16825.141,2117.706
25-36,0.604,0.802,41521.328,4626.4
