Shortname,Method,Config,SeriesType,Transform,PrimaryStatus,PrimaryPhenotype,RP_Month,BP_Month,Pr_RP,Pr_BP,PrimaryStatusProb,RP_Q025,RP_Q975,BP_Q025,BP_Q975,MethodUsed,FitFailed,SimulationIncluded
Amebiasis,TBATS,Count sqrt,count,sqrt,Debt Repaid,Balanced,29,35,0.7068,0.6284,0.6284,4,48,24,63,NA,NA,NA
Amebiasis,TBATS,Count log,count,log,Debt Repaid,Balanced,29,36,0.75,0.655,0.655,5,49.55000000000001,24,63.75,TBATS,FALSE,TRUE
Amebiasis,TBATS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,35,NA,0.705,0.29,0.415,4,56,28.7,69.14999999999999,TBATS,FALSE,TRUE
CA (HPV),Bayesian structural,Count sqrt,count,sqrt,Debt Repaid,Balanced,40,55,0.9556,0.773,0.773,4,53,32,68,NA,NA,NA
CA (HPV),Bayesian structural,Count log,count,log,Debt Repaid,Balanced,43,58,0.75,0.52,0.52,0,56,1,66.425,Bayesian structural,FALSE,TRUE
CA (HPV),Bayesian structural,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,43,57,0.84,0.595,0.595,8,53,22.300000000000004,68,Bayesian structural,FALSE,TRUE
Chancroid,ARIMA + Fourier,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,48,NA,0.9962,0.2244,0.7718,8,50,55,71,NA,NA,NA
Chancroid,ARIMA + Fourier,Count log,count,log,Suppressed,Suppressed,NA,NA,0.7,0.015,0.3,8,67.525,61.25,69.8,ARIMA + Fourier,FALSE,TRUE
Chancroid,ARIMA + Fourier,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,48,NA,0.99,0.135,0.855,37,48.14999999999998,59.3,71,ARIMA + Fourier,FALSE,TRUE
Chickenpox,SARIMA,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,66,NA,0.8888,0,0.8888,7,67,NA,NA,NA,NA,NA
Chickenpox,SARIMA,Count log,count,log,Recovered,Recovered but not balanced,66,NA,NA,NA,NA,NA,NA,NA,NA,SARIMA,FALSE,FALSE
Chickenpox,SARIMA,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,54,NA,NA,NA,NA,NA,NA,NA,NA,SARIMA,FALSE,FALSE
Dengue fever,TBATS,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,35,NA,0.7228,0.3394,0.3834,2,46,3,65,NA,NA,NA
Dengue fever,TBATS,Count log,count,log,Recovered,Recovered but not balanced,35,NA,0.66,0.29,0.37,2,46,3.425,66.57499999999999,TBATS,FALSE,TRUE
Dengue fever,TBATS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,35,NA,0.715,0.375,0.34,2.5500000000000007,47,4,54.89999999999995,TBATS,FALSE,TRUE
Genital herpes,Hybrid,Count sqrt,count,sqrt,Debt Repaid,Balanced,36,52,1,1,1,31,41,51,53,NA,NA,NA
Genital herpes,Hybrid,Count log,count,log,Debt Repaid,Balanced,36,51,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
Genital herpes,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,36,53,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
Gonorrhoea,TBATS,Count sqrt,count,sqrt,Debt Repaid,Balanced,36,58,0.999,0.822,0.822,8,48,43,70,NA,NA,NA
Gonorrhoea,TBATS,Count log,count,log,Debt Repaid,Balanced,36,61,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE
Gonorrhoea,TBATS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,36,59,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE
HAV,Hybrid,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,47,NA,0.9226,0,0.9226,1,61,NA,NA,NA,NA,NA
HAV,Hybrid,Count log,count,log,Recovered,Recovered but not balanced,47,NA,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
HAV,Hybrid,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,47,NA,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
HBV,ETS,Count sqrt,count,sqrt,Debt Repaid,Balanced,38,52,1,1,1,36,41,51,52,NA,NA,NA
HBV,ETS,Count log,count,log,Debt Repaid,Balanced,38,52,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
HBV,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,41,52,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
HCV,ARIMA + Fourier,Count sqrt,count,sqrt,Debt Repaid,Balanced,28,35,0.9546,0.9472,0.9472,0,41,1,55,NA,NA,NA
HCV,ARIMA + Fourier,Count log,count,log,Debt Repaid,Balanced,28,34,NA,NA,NA,NA,NA,NA,NA,ARIMA + Fourier,FALSE,FALSE
HCV,ARIMA + Fourier,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,31,41,NA,NA,NA,NA,NA,NA,NA,ARIMA + Fourier,FALSE,FALSE
HFMD,Hybrid,Count sqrt,count,sqrt,Debt Repaid,Balanced,9,33,1,1,1,9,9,32,55,NA,NA,NA
HFMD,Hybrid,Count log,count,log,Debt Repaid,Balanced,9,32,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
HFMD,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,9,49,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
Influenza,ETS,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,44,NA,1,0,1,44,44,NA,NA,NA,NA,NA
Influenza,ETS,Count log,count,log,Recovered,Recovered but not balanced,44,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Influenza,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,43,71,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Leptospirosis,ARIMA + Fourier,Count sqrt,count,sqrt,Debt Repaid,Balanced,11,32,0.8576,0.7734,0.7734,1,37,3,64.34999999999991,NA,NA,NA
Leptospirosis,ARIMA + Fourier,Count log,count,log,Debt Repaid,Balanced,27,32,0.9,0.845,0.845,3,35,6.000000000000001,58.599999999999966,ARIMA + Fourier,FALSE,TRUE
Leptospirosis,ARIMA + Fourier,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,10,30,0.775,0.635,0.635,0.8499999999999996,45.150000000000006,1,59.849999999999994,ARIMA + Fourier,FALSE,TRUE
Malaria,Hybrid,Count sqrt,count,sqrt,No Deficit,No deficit,NA,NA,0.4748,0.4748,0.5252,0,24,1,28,NA,NA,NA
Malaria,Hybrid,Count log,count,log,No Deficit,No deficit,NA,NA,0.145,0.145,0.855,0,4,1,4,Hybrid,FALSE,TRUE
Malaria,Hybrid,Rate sqrt,rate,sqrt,No Deficit,No deficit,NA,NA,0.645,0.645,0.355,1,25,1,29,Hybrid,FALSE,TRUE
Melioidosis,Hybrid,Count sqrt,count,sqrt,Debt Repaid,Balanced,28,36,1,1,1,6,30,35,45,NA,NA,NA
Melioidosis,Hybrid,Count log,count,log,Debt Repaid,Balanced,28,41,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
Melioidosis,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,28,44,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
Mumps,ETS,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,68,NA,1,0,1,68,68,NA,NA,NA,NA,NA
Mumps,ETS,Count log,count,log,Recovered,Recovered but not balanced,58,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Mumps,ETS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,68,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Pneumonia,TBATS,Count sqrt,count,sqrt,Debt Repaid,Balanced,34,60,1,0.8354,0.8354,26,54,43,70,NA,NA,NA
