สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
43,43,ร้อยเอ็ด,ร้อยเอ็ด,1
43,43,ราชบุรี,ราชบุรี,1
43,43,ยะลา,ยะลา,1
43,43,ภูเก็ต,ภูเก็ต,3
43,43,พิษณุโลก,พิษณุโลก,1
43,43,พิจิตร,พิจิตร,1
43,43,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2
43,43,ปทุมธานี,ปทุมธานี,3
43,43,บุรีรัมย์,บุรีรัมย์,2
43,43,นนทบุรี,นนทบุรี,4
43,43,นครศรีธรรมราช,นครศรีธรรมราช,1
43,43,นครราชสีมา,นครราชสีมา,2
43,43,นครปฐม,นครปฐม,1
43,43,ตาก,ตาก,2
43,43,ตรัง,ตรัง,1
43,43,ชลบุรี,ชลบุรี,6
43,43,ขอนแก่น,ขอนแก่น,3
43,43,กรุงเทพมหานคร,กรุงเทพมหานคร,19
42,42,%all%,%all%,74
42,42,เพชรบูรณ์,เพชรบูรณ์,1
42,42,เชียงราย,เชียงราย,1
42,42,อุดรธานี,อุดรธานี,2
42,42,สุรินทร์,สุรินทร์,3
42,42,สุราษฎร์ธานี,สุราษฎร์ธานี,3
42,42,สุพรรณบุรี,สุพรรณบุรี,1
42,42,สระบุรี,สระบุรี,1
42,42,สมุทรปราการ,สมุทรปราการ,1
42,42,สงขลา,สงขลา,3
42,42,ศรีสะเกษ,ศรีสะเกษ,1
42,42,ลำพูน,ลำพูน,1
42,42,ราชบุรี,ราชบุรี,2
42,42,มหาสารคาม,มหาสารคาม,1
42,42,ภูเก็ต,ภูเก็ต,3
42,42,พิษณุโลก,พิษณุโลก,2
42,42,พัทลุง,พัทลุง,1
42,42,ปทุมธานี,ปทุมธานี,1
42,42,นราธิวาส,นราธิวาส,1
42,42,นนทบุรี,นนทบุรี,6
42,42,นครสวรรค์,นครสวรรค์,2
42,42,นครศรีธรรมราช,นครศรีธรรมราช,1
42,42,นครราชสีมา,นครราชสีมา,2
42,42,นครปฐม,นครปฐม,2
42,42,ตาก,ตาก,2
42,42,ชลบุรี,ชลบุรี,7
42,42,ฉะเชิงเทรา,ฉะเชิงเทรา,2
42,42,จันทบุรี,จันทบุรี,1
42,42,ขอนแก่น,ขอนแก่น,1
42,42,กรุงเทพมหานคร,กรุงเทพมหานคร,19
41,41,%all%,%all%,83
41,41,แพร่,แพร่,1
41,41,เชียงใหม่,เชียงใหม่,1
41,41,เชียงราย,เชียงราย,2
41,41,อุดรธานี,อุดรธานี,2
41,41,สุรินทร์,สุรินทร์,2
41,41,สุราษฎร์ธานี,สุราษฎร์ธานี,2
41,41,สุพรรณบุรี,สุพรรณบุรี,1
41,41,สมุทรสาคร,สมุทรสาคร,1
41,41,สมุทรสงคราม,สมุทรสงคราม,1
41,41,สงขลา,สงขลา,1
41,41,ลพบุรี,ลพบุรี,2
41,41,ร้อยเอ็ด,ร้อยเอ็ด,1
41,41,ราชบุรี,ราชบุรี,1
41,41,มหาสารคาม,มหาสารคาม,1
41,41,ภูเก็ต,ภูเก็ต,1
41,41,พิษณุโลก,พิษณุโลก,1
41,41,ปัตตานี,ปัตตานี,1
41,41,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,1
41,41,บุรีรัมย์,บุรีรัมย์,1
41,41,นราธิวาส,นราธิวาส,1
41,41,นนทบุรี,นนทบุรี,9
41,41,นครสวรรค์,นครสวรรค์,1
41,41,นครศรีธรรมราช,นครศรีธรรมราช,1
41,41,นครราชสีมา,นครราชสีมา,5
41,41,นครปฐม,นครปฐม,1
41,41,ตาก,ตาก,2
41,41,ตรัง,ตรัง,2
41,41,ชุมพร,ชุมพร,1
41,41,ชัยนาท,ชัยนาท,1
41,41,ชลบุรี,ชลบุรี,6
41,41,ฉะเชิงเทรา,ฉะเชิงเทรา,1
